일자,시가,고가,저가,종가,등락,종가변화,등락률,거래량,미결제,증감,거래대금,코스피200,현물등락,현물변화,Basis,연도,월,일,요일,5MA,10MA,15MA,20MA,25MA,30MA,35MA,40MA,45MA,50MA,55MA,60MA,BB_M,BB_L,BB_H,ATR,fast_K,fast_D,slow_K,slow_D,종가예측,타겟변수5,타겟변수2,타겟변수3
2007-05-09,204.1,206.25,203.95,206.2,1,2.1,1.03,177575,101478,2548,18171343.0,204.77,1,1.26,1.43,2007,5,9,2,203.91000000000003,202.08499999999992,201.02333333333328,200.1599999999999,198.89799999999997,197.26166666666663,196.0128571428572,194.7387499999998,193.65777777777808,192.55500000000018,192.29454545454553,191.76916666666668,200.1599999999999,205.60441771085237,194.71558228914745,2.3000000000000114,30.548148148148147,39.23243812289229,38.32713754646845,39.07551656167566,1.0,1.0,1.0,0.0
2007-05-10,206.5,208.95,206.4,207.2,1,1.0,0.48,214265,99102,-2376,22250976.0,205.51,1,0.74,1.69,2007,5,10,3,204.91000000000003,202.80499999999992,201.58666666666662,200.67249999999996,199.45799999999997,197.92833333333328,196.59000000000003,195.3487499999998,194.20111111111143,192.9320000000002,192.63454545454556,192.16833333333338,200.67249999999996,206.73884156635737,194.60615843364255,2.75,26.73548387096774,38.05695425192454,36.41476274165205,38.86958022111717,-0.29999999999998295,0.0,0.0,0.0
2007-05-11,205.75,207.2,204.2,206.9,-1,-0.3,-0.14,198878,99940,838,20427467.0,206.06,1,0.55,0.84,2007,5,11,4,205.77000000000007,203.38499999999993,202.3133333333333,201.16749999999993,200.02199999999993,198.52333333333326,197.11285714285717,195.87249999999977,194.72666666666697,193.40600000000018,192.96272727272736,192.54333333333338,201.16749999999993,207.57795814929977,194.7570418507001,3.0,26.69677419354839,33.13808124253292,32.07751937984497,37.4171229320376,0.04999999999998295,0.0,1.0,0.0
2007-05-14,208.25,209.0,206.25,206.95,1,0.05,0.02,216727,99997,57,22481596.0,206.28,1,0.22,0.67,2007,5,14,0,206.27000000000007,204.13499999999993,202.86666666666662,201.65499999999992,200.57399999999996,199.1316666666666,197.63714285714286,196.4174999999998,195.2188888888892,193.89100000000016,193.26272727272735,192.88500000000005,201.65499999999992,208.2745802060988,195.03541979390104,2.75,28.544827586206896,30.6690467597743,29.992753623188417,35.41371670951283,-2.5,-2.0,0.0,-1.0
2007-05-15,206.35,208.1,204.45,204.45,-1,-2.5,-1.21,241385,104200,4203,24941451.0,204.22,-1,2.06,0.23,2007,5,15,1,206.3400000000001,204.58499999999992,203.16999999999993,201.9499999999999,200.95199999999994,199.61999999999992,198.09,196.8474999999998,195.59777777777813,194.4240000000002,193.5200000000001,193.1666666666667,201.9499999999999,208.51257330783918,195.38742669216063,3.6500000000000057,31.94531250000011,28.894109259774325,28.474930362117018,33.05742073065417,2.0,2.0,1.0,1.0
2007-05-16,205.0,206.6,204.6,206.45,1,2.0,0.98,207378,106260,2060,21316889.0,205.62,1,1.4,0.83,2007,5,16,2,206.3900000000001,205.14999999999992,203.51999999999992,202.3649999999999,201.40599999999992,200.1466666666666,198.56571428571428,197.30999999999977,196.0333333333337,194.9310000000002,193.8127272727274,193.46916666666675,202.3649999999999,208.96540668601273,195.76459331398706,2.1500000000000057,41.29,31.04247963014469,30.226939970717453,31.43738121550397,1.6500000000000057,1.0,1.0,1.0
2007-05-17,207.85,208.15,207.15,208.1,1,1.65,0.8,155789,106891,631,16176560.0,207.35,1,1.73,0.75,2007,5,17,3,206.57000000000008,205.73999999999992,204.05999999999992,202.8324999999999,201.85199999999995,200.6433333333333,199.16285714285715,197.8374999999998,196.59555555555593,195.43800000000022,194.17181818181828,193.79583333333343,202.8324999999999,209.6748814721363,195.9901185278635,1.700000000000017,37.836363636363636,33.262655583223875,32.617554858934206,30.677939638960396,-0.5999999999999943,-1.0,0.0,0.0
2007-05-18,207.9,208.05,206.05,207.5,-1,-0.6,-0.29,190816,106566,-325,19751152.0,206.69,-1,0.66,0.81,2007,5,18,4,206.69000000000005,206.22999999999993,204.4866666666666,203.40749999999989,202.27199999999993,201.13333333333327,199.69,198.30999999999977,197.07444444444482,195.9230000000002,194.61363636363646,194.10666666666674,203.40749999999989,209.74662454521172,197.06837545478805,2.049999999999983,51.875,38.2983007445142,36.856127886323314,31.633661340256065,1.75,1.0,1.0,1.0
2007-05-21,206.5,209.65,206.15,209.25,1,1.75,0.84,179871,108476,1910,18723959.0,208.74,1,2.05,0.51,2007,5,21,0,207.15000000000003,206.70999999999995,205.13999999999993,203.9374999999999,202.75399999999993,201.66999999999996,200.27714285714285,198.8262499999998,197.61000000000038,196.41200000000023,195.09636363636372,194.42000000000007,203.9374999999999,210.37357227394887,197.5014277260509,3.5,40.631067961165,40.71554881950582,40.16314779270638,33.66774017415966,1.8000000000000114,1.0,1.0,1.0
2007-05-22,209.75,211.4,208.95,211.05,1,1.8,0.86,168638,106585,-1891,17711461.0,210.69,1,1.95,0.36,2007,5,22,1,208.47000000000003,207.40499999999997,205.87999999999997,204.49499999999986,203.25399999999993,202.20499999999996,200.8842857142857,199.38749999999976,198.13888888888926,196.88500000000022,195.70090909090916,194.7658333333334,204.49499999999986,211.37486382972014,197.61513617027958,2.450000000000017,31.97727272727262,40.721940864960324,40.19999999999998,36.012754101736256,0.29999999999998295,0.0,1.0,0.0
