date,fa_num_rate,fa_Votes_rate,time_Allday,time_Event,time_month,time_Quarter,USD,EUR,GBP,JPY,AUD,CAD,NZD,CNY,CHF,All
2007-07-05,17.75267644328767,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
2007-07-06,51.06780952380952,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
2007-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-09,5.542464204120655,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-07-10,-5.6548509123275466,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0
2007-07-11,-0.05263157894736842,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-07-12,-9.15830773169483,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0
2007-07-13,-13.730232558139532,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2007-07-16,-4.59984984984985,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
2007-07-17,-24.1323049623426,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-07-18,-17.58259832008331,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0
2007-07-19,-11.050301321458003,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,7.0,2.0,0.0
2007-07-20,-4.108403361344536,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
2007-07-23,2.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-07-24,38.447644787644776,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2007-07-25,2.758870771477246,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2007-07-26,-22.826446193636272,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2007-07-27,-0.7411971877915497,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
2007-07-29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-30,-5.163636363636362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2007-07-31,3.167130963000715,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0
2007-08-01,-93.37082036761741,0.0,1.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0
2007-08-02,-2.839712751785606,0.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
